root@comp3134-Winter2026:~# tcpdump -r 0001.pcap
reading from file 0001.pcap, link-type EN10MB (Ethernet), snapshot length 262144
21:44:18.306672 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3836570634:3836570678, ack 3358652334, win 4589, length 44
21:44:18.485950 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 484:520, ack 253, win 4589, length 36
21:44:18.517768 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 253:289, ack 520, win 2043, length 36
21:44:18.517981 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 520:556, ack 289, win 4589, length 36
21:44:18.547960 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 289:325, ack 556, win 2043, length 36
21:44:18.548186 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 556:592, ack 325, win 4589, length 36
21:44:18.575549 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 325:361, ack 592, win 2043, length 36
21:44:18.575749 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 592:628, ack 361, win 4589, length 36
21:44:18.609410 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 361:397, ack 628, win 2043, length 36
21:44:18.609599 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 628:664, ack 397, win 4589, length 36
21:44:18.639635 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 397:433, ack 664, win 2043, length 36
21:44:18.639817 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 664:700, ack 433, win 4589, length 36
21:44:18.671763 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 433:469, ack 700, win 2043, length 36
21:44:18.671964 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 700:736, ack 469, win 4589, length 36
21:44:18.701513 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 469:505, ack 736, win 2043, length 36
21:44:18.701686 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 736:772, ack 505, win 4589, length 36
21:44:18.731792 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 505:541, ack 772, win 2042, length 36
21:44:18.731972 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 772:808, ack 541, win 4589, length 36
21:44:18.761606 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 541:577, ack 808, win 2042, length 36
21:44:18.761769 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 808:844, ack 577, win 4589, length 36
21:44:18.791503 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 577:613, ack 844, win 2042, length 36
21:44:18.791687 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 844:880, ack 613, win 4589, length 36
21:44:18.825668 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 613:649, ack 880, win 2042, length 36
21:44:18.825823 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 880:916, ack 649, win 4589, length 36
21:44:18.855558 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 649:685, ack 916, win 2042, length 36
21:44:18.855776 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 916:952, ack 685, win 4589, length 36
21:44:18.885833 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 685:721, ack 952, win 2042, length 36
21:44:18.886028 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 952:988, ack 721, win 4589, length 36
21:44:18.913386 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 721:757, ack 988, win 2047, length 36
21:44:18.913605 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 988:1024, ack 757, win 4589, length 36
21:44:18.947691 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 757:793, ack 1024, win 2047, length 36
21:44:18.947892 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1024:1060, ack 793, win 4589, length 36
21:44:18.979693 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 793:829, ack 1060, win 2047, length 36
21:44:18.979895 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1060:1096, ack 829, win 4589, length 36
21:44:19.009565 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 829:865, ack 1096, win 2047, length 36
21:44:19.009761 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1096:1132, ack 865, win 4589, length 36
21:44:19.039758 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 865:901, ack 1132, win 2047, length 36
21:44:19.039937 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1132:1168, ack 901, win 4589, length 36
21:44:19.067778 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 901:937, ack 1168, win 2047, length 36
21:44:19.067994 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1168:1204, ack 937, win 4589, length 36
21:44:19.097635 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 937:973, ack 1204, win 2047, length 36
21:44:19.097824 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1204:1240, ack 973, win 4589, length 36
21:44:19.125605 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 973:1041, ack 1240, win 2046, length 68
21:44:19.159497 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1041:1077, ack 1240, win 2046, length 36
21:44:19.159560 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [.], ack 1077, win 4589, length 0
21:44:19.159687 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1240:1276, ack 1077, win 4589, length 36
21:44:19.187778 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1077:1145, ack 1276, win 2046, length 68
21:44:19.223630 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1145:1181, ack 1276, win 2046, length 36
21:44:19.223709 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [.], ack 1181, win 4589, length 0
21:44:19.223848 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1276:1312, ack 1181, win 4589, length 36
21:44:19.251664 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1181:1217, ack 1312, win 2046, length 36
21:44:19.251851 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1312:1348, ack 1217, win 4589, length 36
21:44:19.283725 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1217:1253, ack 1348, win 2046, length 36
21:44:19.283933 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1348:1384, ack 1253, win 4589, length 36
21:44:19.315770 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1253:1289, ack 1384, win 2046, length 36
21:44:19.316028 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1384:1420, ack 1289, win 4589, length 36
21:44:19.345613 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1289:1325, ack 1420, win 2046, length 36
21:44:19.345778 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1420:1456, ack 1325, win 4589, length 36
21:44:19.377636 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1325:1361, ack 1456, win 2046, length 36
21:44:19.377831 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1456:1492, ack 1361, win 4589, length 36
21:44:19.407540 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1361:1397, ack 1492, win 2046, length 36
21:44:19.407701 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1492:1528, ack 1397, win 4589, length 36
21:44:19.439497 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1397:1433, ack 1528, win 2045, length 36
21:44:19.439676 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1528:1564, ack 1433, win 4589, length 36
21:44:19.467723 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1433:1469, ack 1564, win 2045, length 36
21:44:19.467912 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1564:1600, ack 1469, win 4589, length 36
21:44:19.497789 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1469:1537, ack 1600, win 2045, length 68
21:44:19.529471 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1537:1573, ack 1600, win 2045, length 36
21:44:19.529538 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [.], ack 1573, win 4589, length 0
21:44:19.529676 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1600:1636, ack 1573, win 4589, length 36
21:44:19.555926 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1573:1609, ack 1636, win 2045, length 36
21:44:19.556108 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1636:1672, ack 1609, win 4589, length 36
21:44:19.598748 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1609:1645, ack 1672, win 2045, length 36
21:44:19.598932 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1672:1708, ack 1645, win 4589, length 36
21:44:19.621523 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1645:1681, ack 1708, win 2045, length 36
21:44:19.621687 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1708:1744, ack 1681, win 4589, length 36
21:44:19.651440 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1681:1717, ack 1744, win 2045, length 36
21:44:19.651618 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1744:1780, ack 1717, win 4589, length 36
21:44:19.682113 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1717:1753, ack 1780, win 2044, length 36
21:44:19.682261 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1780:1816, ack 1753, win 4589, length 36
21:44:19.713673 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1753:1789, ack 1816, win 2044, length 36
21:44:19.713832 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1816:1852, ack 1789, win 4589, length 36
21:44:19.743546 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1789:1825, ack 1852, win 2044, length 36
21:44:19.743712 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1852:1888, ack 1825, win 4589, length 36
21:44:19.775601 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1825:1861, ack 1888, win 2044, length 36
21:44:19.775788 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1888:1924, ack 1861, win 4589, length 36
21:44:19.805466 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1861:1897, ack 1924, win 2044, length 36
21:44:19.805796 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1924:1960, ack 1897, win 4589, length 36
21:44:19.836060 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1897:1933, ack 1960, win 2044, length 36
21:44:19.836259 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1960:1996, ack 1933, win 4589, length 36
21:44:19.867794 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1933:1969, ack 1996, win 2044, length 36
21:44:19.867955 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 1996:2032, ack 1969, win 4589, length 36
21:44:19.899742 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 1969:2005, ack 2032, win 2043, length 36
21:44:19.899954 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2032:2068, ack 2005, win 4589, length 36
21:44:19.929686 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2005:2041, ack 2068, win 2043, length 36
21:44:19.929872 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2068:2104, ack 2041, win 4589, length 36
21:44:19.961599 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2041:2077, ack 2104, win 2043, length 36
21:44:19.961768 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2104:2140, ack 2077, win 4589, length 36
21:44:19.989712 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2077:2113, ack 2140, win 2043, length 36
21:44:19.989877 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2140:2176, ack 2113, win 4589, length 36
21:44:20.025682 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2113:2149, ack 2176, win 2043, length 36
21:44:20.025847 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2176:2212, ack 2149, win 4589, length 36
21:44:20.053789 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2149:2185, ack 2212, win 2043, length 36
21:44:20.053982 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2212:2248, ack 2185, win 4589, length 36
21:44:20.083564 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2185:2221, ack 2248, win 2043, length 36
21:44:20.083758 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2248:2284, ack 2221, win 4589, length 36
21:44:20.115981 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2221:2257, ack 2284, win 2042, length 36
21:44:20.116165 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2284:2320, ack 2257, win 4589, length 36
21:44:20.145560 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2257:2293, ack 2320, win 2042, length 36
21:44:20.145731 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2320:2356, ack 2293, win 4589, length 36
21:44:20.179887 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2293:2329, ack 2356, win 2042, length 36
21:44:20.180064 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2356:2392, ack 2329, win 4589, length 36
21:44:20.209583 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2329:2365, ack 2392, win 2042, length 36
21:44:20.209735 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2392:2428, ack 2365, win 4589, length 36
21:44:20.241612 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2365:2401, ack 2428, win 2042, length 36
21:44:20.241809 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2428:2464, ack 2401, win 4589, length 36
21:44:20.271980 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2401:2437, ack 2464, win 2047, length 36
21:44:20.272151 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2464:2500, ack 2437, win 4589, length 36
21:44:20.301698 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2437:2473, ack 2500, win 2047, length 36
21:44:20.301894 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2500:2536, ack 2473, win 4589, length 36
21:44:20.333900 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2473:2509, ack 2536, win 2047, length 36
21:44:20.334062 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2536:2572, ack 2509, win 4589, length 36
21:44:20.363653 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2509:2545, ack 2572, win 2047, length 36
21:44:20.363842 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2572:2608, ack 2545, win 4589, length 36
21:44:20.395847 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2545:2581, ack 2608, win 2047, length 36
21:44:20.396056 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2608:2644, ack 2581, win 4589, length 36
21:44:20.426610 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2581:2617, ack 2644, win 2047, length 36
21:44:20.426781 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2644:2680, ack 2617, win 4589, length 36
21:44:20.457522 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2617:2653, ack 2680, win 2047, length 36
21:44:20.457702 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2680:2716, ack 2653, win 4589, length 36
21:44:20.485540 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2653:2689, ack 2716, win 2046, length 36
21:44:20.485777 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2716:2752, ack 2689, win 4589, length 36
21:44:20.517674 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2689:2725, ack 2752, win 2046, length 36
21:44:20.517848 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2752:2788, ack 2725, win 4589, length 36
21:44:20.549623 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2725:2761, ack 2788, win 2046, length 36
21:44:20.549793 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2788:2824, ack 2761, win 4589, length 36
21:44:20.579462 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2761:2797, ack 2824, win 2046, length 36
21:44:20.579655 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2824:2860, ack 2797, win 4589, length 36
21:44:20.609671 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2797:2833, ack 2860, win 2046, length 36
21:44:20.609880 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2860:2896, ack 2833, win 4589, length 36
21:44:20.639582 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2833:2869, ack 2896, win 2046, length 36
21:44:20.639741 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2896:2932, ack 2869, win 4589, length 36
21:44:20.670599 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2869:2905, ack 2932, win 2046, length 36
21:44:20.670813 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2932:2968, ack 2905, win 4589, length 36
21:44:20.701791 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2905:2941, ack 2968, win 2046, length 36
21:44:20.701971 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 2968:3004, ack 2941, win 4589, length 36
21:44:20.731988 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2941:2977, ack 3004, win 2045, length 36
21:44:20.732179 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3004:3040, ack 2977, win 4589, length 36
21:44:20.763789 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 2977:3013, ack 3040, win 2045, length 36
21:44:20.763977 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3040:3076, ack 3013, win 4589, length 36
21:44:20.795741 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3013:3049, ack 3076, win 2045, length 36
21:44:20.795915 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3076:3112, ack 3049, win 4589, length 36
21:44:20.825551 IP d72-39-77-253.home1.cgocable.net.49649 > comp3134-Winter2026.ssh: Flags [P.], seq 3049:3085, ack 3112, win 2045, length 36
21:44:20.825724 IP comp3134-Winter2026.ssh > d72-39-77-253.home1.cgocable.net.49649: Flags [P.], seq 3112:3148, ack 3085, win 4589, length 36
